datetime,open,close,high,low,contract,avg
2023-04-26 14:40:00,96.41,96.43,96.43,96.41,TL9999.CCFX,96.42530000000001
2023-04-26 14:45:00,96.43,96.43,96.44,96.43,TL9999.CCFX,96.43325999999999
2023-04-26 14:50:00,96.44,96.42,96.44,96.42,TL9999.CCFX,96.42934
2023-04-26 14:55:00,96.42,96.43,96.43,96.42,TL9999.CCFX,96.426
2023-04-26 15:00:00,96.42,96.45,96.45,96.42,TL9999.CCFX,96.43634
2023-04-26 15:05:00,96.45,96.44,96.46,96.43,TL9999.CCFX,96.44524
2023-04-26 15:10:00,96.44,96.43,96.45,96.43,TL9999.CCFX,96.4432
2023-04-26 15:15:00,96.45,96.43,96.45,96.42,TL9999.CCFX,96.43
2023-04-27 09:30:00,96.57,96.54,96.58,96.49,TL9999.CCFX,96.537825
2023-04-27 09:35:00,96.53,96.5,96.53,96.49,TL9999.CCFX,96.511
2023-04-27 09:40:00,96.49,96.48,96.49,96.47,TL9999.CCFX,96.4844
2023-04-27 09:45:00,96.48,96.49,96.51,96.48,TL9999.CCFX,96.49249999999999
2023-04-27 09:50:00,96.49,96.5,96.5,96.49,TL9999.CCFX,96.49199999999999
2023-04-27 09:55:00,96.51,96.54,96.55,96.51,TL9999.CCFX,96.534
2023-04-27 10:00:00,96.55,96.57,96.59,96.55,TL9999.CCFX,96.5683
2023-04-27 10:05:00,96.57,96.58,96.58,96.57,TL9999.CCFX,96.57300000000001
2023-04-27 10:10:00,96.58,96.59,96.59,96.57,TL9999.CCFX,96.58368
2023-04-27 10:15:00,96.58,96.57,96.58,96.57,TL9999.CCFX,96.57364
2023-04-27 10:20:00,96.56,96.54,96.56,96.54,TL9999.CCFX,96.554
2023-04-27 10:25:00,96.54,96.55,96.55,96.54,TL9999.CCFX,96.548
2023-04-27 10:30:00,96.56,96.57,96.57,96.56,TL9999.CCFX,96.568
2023-04-27 10:35:00,96.57,96.58,96.58,96.56,TL9999.CCFX,96.5737
2023-04-27 10:40:00,96.59,96.59,96.6,96.58,TL9999.CCFX,96.58936
2023-04-27 10:45:00,96.59,96.61,96.62,96.59,TL9999.CCFX,96.60884
2023-04-27 10:50:00,96.61,96.61,96.61,96.6,TL9999.CCFX,96.60914
2023-04-27 10:55:00,96.6,96.62,96.62,96.6,TL9999.CCFX,96.61342
2023-04-27 11:00:00,96.62,96.62,96.62,96.61,TL9999.CCFX,96.61800000000001
2023-04-27 11:05:00,96.62,96.62,96.62,96.62,TL9999.CCFX,96.62
2023-04-27 11:10:00,96.62,96.64,96.64,96.62,TL9999.CCFX,96.6318
2023-04-27 11:15:00,96.64,96.66,96.66,96.64,TL9999.CCFX,96.648
2023-04-27 11:20:00,96.66,96.68,96.68,96.66,TL9999.CCFX,96.66964
2023-04-27 11:25:00,96.68,96.69,96.69,96.68,TL9999.CCFX,96.689
2023-04-27 11:30:00,96.7,96.7,96.7,96.7,TL9999.CCFX,96.7
2023-04-27 13:00:00,96.71,96.74,96.74,96.71,TL9999.CCFX,96.7212
2023-04-27 13:05:00,96.73,96.72,96.74,96.72,TL9999.CCFX,96.72798
2023-04-27 13:10:00,96.72,96.73,96.73,96.72,TL9999.CCFX,96.72601999999999
2023-04-27 13:15:00,96.73,96.73,96.73,96.73,TL9999.CCFX,96.73
